sentiment,text,clean_text,sentiment_confidence,topic
negative,"The Worst!: A complete waste of time. Typographical errors, poor grammar, and a totally pathetic plot add up to absolutely nothing. I'm embarrassed for this author and very disappointed I actually paid for this book.",worst complet wast time typograph error poor grammar total pathet plot add absolut noth im embarrass author disappoint actual paid book,0.9998,-1
positive,"Great book: This was a great book,I just could not put it down,and could not read it fast enough. Boy what a book the twist and turns in this just keeps you guessing and wanting to know what is going to happen next. This book makes you fall in love and can heat you up,it can also make you so angery. this book can make you go throu several of your emotions. This is a quick read romance. It is something that you will want to end your day off with if you read at night.",great book great booki could put downand could read fast enough boy book twist turn keep guess want know go happen next book make fall love heat upit also make angeri book make go throu sever emot quick read romanc someth want end day read night,0.9991,414
positive,"Great Read: I thought this book was brilliant, but yet realistic. It showed me that to error is human. I loved the fact that this writer showed the loving side of God and not the revengeful side of him. I loved how it twisted and turned and I could not put it down. I also loved The glass castle.",great read thought book brilliant yet realist show error human love fact writer show love side god reveng side love twist turn could put also love glass castl,0.9996,131
negative,"Oh please: I guess you have to be a romance novel lover for this one, and not a very discerning one. All others beware! It is absolute drivel. I figured I was in trouble when a typo is prominently featured on the back cover, but the first page of the book removed all doubt. Wait - maybe I'm missing the point. A quick re-read of the beginning now makes it clear. This has to be an intentional churning of over-heated prose for satiric purposes. Phew, so glad I didn't waste $10.95 after all.",oh pleas guess romanc novel lover one discern one other bewar absolut drivel figur troubl typo promin featur back cover first page book remov doubt wait mayb im miss point quick reread begin make clear intent churn overh prose satir purpos phew glad didnt wast 1095,0.9924,-1
negative,"Awful beyond belief!: I feel I have to write to keep others from wasting their money. This book seems to have been written by a 7th grader with poor grammatical skills for her age! As another reviewer points out, there is a misspelling on the cover, and I believe there is at least one per chapter. For example, it was mentioned twice that she had a ""lean"" on her house. I was so distracted by the poor writing and weak plot, that I decided to read with a pencil in hand to mark all of the horrible grammar and spelling. Please don't waste your money. I too, believe that the good reviews must have been written by the author's relatives. I will not put much faith in the reviews from now on!",aw beyond belief feel write keep other wast money book seem written 7th grader poor grammat skill age anoth review point misspel cover believ least one per chapter exampl mention twice lean hous distract poor write weak plot decid read pencil hand mark horribl grammar spell pleas dont wast money believ good review must written author relat put much faith review,0.9998,61
negative,"Don't try to fool us with fake reviews.: It's glaringly obvious that all of the glowing reviews have been written by the same person, perhaps the author herself. They all have the same misspellings and poor sentence structure that is featured in the book. Who made Veronica Haddon think she is an author?",dont tri fool us fake review glare obvious glow review written person perhap author misspel poor sentenc structur featur book made veronica haddon think author,0.9996,-1
positive,"A romantic zen baseball comedy: When you hear folks say that they don't make 'em like that anymore, they might be talking about ""BY THE SEA"". This is a very cool story about a young Cuban girl searching for idenity who stumbles into a coastal resort kitchen gig with a zen motorcycle maintenance man, three hysterical Italian chefs and a Latino fireballing right handed pitcher who plays on the team sponsored by the resort's owner. As is often the case she 'finds' herself through honest, often comical but always emotional, interaction with this sizzling roster of players. With the perfect mix of special effects, that salsa sound and flashbacks, BY THE SEA, gets 4 BIG stars from me!",romant zen basebal comedi hear folk say dont make em like anymor might talk sea cool stori young cuban girl search iden stumbl coastal resort kitchen gig zen motorcycl mainten man three hyster italian chef latino firebal right hand pitcher play team sponsor resort owner often case find honest often comic alway emot interact sizzl roster player perfect mix special effect salsa sound flashback sea get 4 big star,0.9997,-1
positive,"Fashionable Compression Stockings!: After I had a DVT my doctor required me to wear compression stockings. I wore ugly white TED hose and yucky thick brown stockings. Then I found Jobst UltraSheer. They gave me the compression I needed (15-20,) but looked like regular pantyhose. Even though my blood clot has been gone for 4 years, I still buy these to wear as support stockings because they make my legs feel so nice.**Note, I have problems with the rubberized tops rolling down my thigh. I tried the Jobst adhesive, but I hated having my skin pulled all day. I bought an inexpensive garter belt and it works fine and helps keep the stockings from rolling.",fashion compress stock dvt doctor requir wear compress stock wore ugli white ted hose yucki thick brown stock found jobst ultrash gave compress need 1520 look like regular pantyhos even though blood clot gone 4 year still buy wear support stock make leg feel nicenot problem rubber top roll thigh tri jobst adhes hate skin pull day bought inexpens garter belt work fine help keep stock roll,0.9821,-1
negative,"Jobst UltraSheer Thigh High: Excellent product. However, they are very difficult to get on for older people. I feel like I've had a full day workout after getting them on. Also, as the day wears on, they begin to roll down from the top and create a very deep ridge in the skin. I have to wear them, so if those two difficulties could be addressed it would be such a help.",jobst ultrash thigh high excel product howev difficult get older peopl feel like ive full day workout get also day wear begin roll top creat deep ridg skin wear two difficulti could address would help,0.9578,-1
negative,sizes recomended in the size chart are not real: sizes are much smaller than what is recomended in the chart. I tried to put it and sheer it!. I guess you should not buy this item in the internet..it is better to go to the store and check it,size recomend size chart real size much smaller recomend chart tri put sheer guess buy item internetit better go store check,0.9979,130
negative,"mens ultrasheer: This model may be ok for sedentary types, but I'm active and get around alot in my job - consistently found these stockings rolled up down by my ankles! Not Good!! Solution: go with the standard compression stocking, 20-30, stock #114622. Excellent support, stays up and gives me what I need. Both pair of these also tore as I struggled to pull them up all the time. Good riddance/bad investment!",men ultrash model may ok sedentari type im activ get around alot job consist found stock roll ankl good solut go standard compress stock 2030 stock 114622 excel support stay give need pair also tore struggl pull time good riddancebad invest,0.9763,-1
positive,"Delicious cookie mix: I thought it was funny that I bought this product without knowing it was a mix. I read the header very quickly and just thought it was packaged cookies. But no, it is cookie MIX and I guess I should have noticed that since it is right in the title.This is the first time I have ever tried baking with a cookie mix. If you are used to the convenience of the cookie dough that you buy wrapped up in plastic logs then you might be in for a bit of a surprise. Mixing up the dough can get VERY messy (it is extremely sticky). However, with a cookie mix like this you have a lot of flexibility in the ratio of ingredients (I like to add some extra butter to make the baked cookies more chewy). Also, this mix has really large chocolate chips in it--I love that.I removed a star for the addition of 'natural flavors' in the mix.",delici cooki mix thought funni bought product without know mix read header quick thought packag cooki cooki mix guess notic sinc right titlethi first time ever tri bake cooki mix use conveni cooki dough buy wrap plastic log might bit surpris mix dough get messi extrem sticki howev cooki mix like lot flexibl ratio ingredi like add extra butter make bake cooki chewi also mix realli larg chocol chip iti love thati remov star addit natur flavor mix,0.9899,-1
negative,"Another Abysmal Digital Copy: Rather than scratches and insect droppings, this one has random pixelations combined with muddy light and vague image resolution. Probably the cue should have been the packaging is straight out of your street corner bootleg dealer.If you've ever seen a reasonably good condition film copy, you know the defining visuals of his film are the crystal clear lighting contrasts in black and white. The surrounding countryside and 'old home' scenes are set with early morning ground mists or the haze of memory while the events on the bridge and in the water are bright, clear, and immediate.Here everything is dull, dark, and clouded. Or, if you remember the timbre and enunciation of Captain's commands, so are the visuals.After that, it is hard to believe this award winning, critically acclaimed film's best presentation is on YOUTUBE. Somewhere ""out there"" is a DVD that comes up to the standard of a 16mm public library reel.Just none of them appear to be on Amazon.",anoth abysm digit copi rather scratch insect drop one random pixel combin muddi light vagu imag resolut probabl cue packag straight street corner bootleg dealerif youv ever seen reason good condit film copi know defin visual film crystal clear light contrast black white surround countrysid old home scene set earli morn ground mist haze memori event bridg water bright clear immediateher everyth dull dark cloud rememb timbr enunci captain command visualsaft hard believ award win critic acclaim film best present youtub somewher dvd come standard 16mm public librari reeljust none appear amazon,0.9967,-1
positive,"A fascinating insight into the life of modern Japanese teens: I thoroughly enjoyed Rising Sons and Daughters. I don't know of any other book that looks at Japanese society from the point of view of its young people poised as they are between their parents' age-old Japanese culture of restraint and obedience to the will of the community, and their peers' adulation of Western culture. True to form, the ""New Young"" of Japan seem to be creating an ""international"" blend, as the Ando family demonstrates in this beautifully written book of vignettes of the private lives of members of this family. Steven Wardell is clearly a talented young author, adopted for some of his schooling into this family of four teens, and thus able to view family life in Japan from the inside out. A great read!",fascin insight life modern japanes teen thorough enjoy rise son daughter dont know book look japanes societi point view young peopl pois parent ageold japanes cultur restraint obedi communiti peer adul western cultur true form new young japan seem creat intern blend ando famili demonstr beauti written book vignett privat live member famili steven wardel clear talent young author adopt school famili four teen thus abl view famili life japan insid great read,0.9998,76
positive,"i liked this album more then i thought i would: I heard a song or two and thought same o same o,but when i listened to songs like ""blue angel"",""lanna"" and 'mama"" the hair just rose off my neck.Roy is trully an amazing singer with a talent you don't find much now days.",like album thought would heard song two thought obut listen song like blue angellanna mama hair rose neckroy trulli amaz singer talent dont find much day,0.9983,257
negative,"Problem with charging smaller AAAs: I have had the charger for more than two years. It charges AA batteries just fine, but has a huge problem securing smaller AAA batteries. To charge the smaller batteries you need to flip down the little button at the positive end. In the beginning one of the four AAA batteries would pop up, and now three out of the four won't hold. The problem is the flip mechanism became loose, and any horizontal pressure would push the buttons back up. What I have to do now is using duct tape and a segment of crayon, apply the crayon on the buttons, and wrap the tape around. You know how painful that is.",problem charg smaller aaa charger two year charg aa batteri fine huge problem secur smaller aaa batteri charg smaller batteri need flip littl button posit end begin one four aaa batteri would pop three four wont hold problem flip mechan becam loos horizont pressur would push button back use duct tape segment crayon appli crayon button wrap tape around know pain,0.9995,28
negative,"Works, but not as advertised: I bought one of these chargers..the instructions say the lights stay on while the battery charges...true. The instructions doNT say the lights turn off when its done. Which is also true. 24 hours of charging and the lights stay on. I returned it thinking I had a bad unit.The new one did the same thing. I just kept it since it does charge...but the lights are useless since they seem to always stay on. It's a ""backup"" charger for when I manage to drain all my AAs but I wouldn't want this as my only charger.",work advertis bought one chargersth instruct say light stay batteri chargestru instruct dont say light turn done also true 24 hour charg light stay return think bad unitth new one thing kept sinc chargebut light useless sinc seem alway stay backup charger manag drain aa wouldnt want charger,0.9989,141
negative,"Disappointed: I read the reviews,made my purchase and was very disappointed. The charger is convenient by charging all four batteries at once but the charge only lasts a very short time. I now have to go and find batteries that will give me longer life than the kodak NiMH AA batteries.",disappoint read reviewsmad purchas disappoint charger conveni charg four batteri charg last short time go find batteri give longer life kodak nimh aa batteri,0.999,-1
negative,"Oh dear: I was excited to find a book ostensibly about Muslim feminism, but this volume did not live up to the expectations.One essay, among other things, describes the veil as potentially liberating. It doesn't begin to explain how or why.Another, on Muslim women in Cape Town, claims that Muslim women there are separate but ""more than equal."" Gee whiz, what a disappointment.I had expected and hoped for at least one Muslim feminist condemnation of gender apartheid. But there is not a single one in the book.I'm surprised it didn't have an essay extolling the virtues of female genital mutilation.--Alyssa A. Lappen",oh dear excit find book ostens muslim femin volum live expectationson essay among thing describ veil potenti liber doesnt begin explain whyanoth muslim women cape town claim muslim women separ equal gee whiz disappointmenti expect hope least one muslim feminist condemn gender apartheid singl one bookim surpris didnt essay extol virtu femal genit mutilationalyssa lappen,0.9983,-1
negative,"Based on the reviews here I bought one and I'm glad I did!: This VCR/DVD was an early Christmas present to myself after deciding to join the rest of the world in DVD-land but not wanting to let go of my VHS movies quite yet. Based on the reviews and price, and because I own a JVC TV, this was my choice. I agree with the easy set-up. It's a bit awkward to work the whole TV/VHS/DVD selection options but I think I've gotten the hang of it.Two comments: it's not intuitive and actually is pretty complicated (too many buttons on the remote but that might please others who are more technically-minded than me) so I've had to rely heavily on the how-to manual. And setting the VCR timer is awkward -- you can't enter the start and end time but have to scroll (unless I'm missing something)...but those are my only complaints. This is a good product for your $$$.",base review bought one im glad vcrdvd earli christma present decid join rest world dvdland want let go vhs movi quit yet base review price jvc tv choic agre easi setup bit awkward work whole tvvhsdvd select option think ive gotten hang ittwo comment intuit actual pretti complic mani button remot might pleas other technicallymind ive reli heavili howto manual set vcr timer awkward cant enter start end time scroll unless im miss somethingbut complaint good product,0.608,-1
negative,"Incorrect disc!: I am a big JVC fan, but I do not like this model, I was suspiscious when I saw several units in the return section of the store. I bought one anyway (new) and must say I am not happy. The unit sends out clicks to the receiver once in a while, the transition between scenes is not always smooth,(like a little pause) and while it is still fairly new I can't get any DVD,CD or even a DVD headcleaner to work. All I get is a ""incorrect disc"" message.",incorrect disc big jvc fan like model suspisci saw sever unit return section store bought one anyway new must say happi unit send click receiv transit scene alway smoothlik littl paus still fair new cant get dvdcd even dvd headclean work get incorrect disc messag,0.9993,7
negative,"happy with it...but: I'm a JVC nut...I have 3 JVC televisions, one VCR, one bookshelf audio system and car audio system. So when it came time to move the VCR player to the boys room and get another one for the old man I knew what make it was going to be. I decided on the combo player because I don't think VHS is going to be around much longer. I like my combo player except for 2 things:(1)no cable box compatability on the remote control (2)no seperate audio video inputs only input for coax cable from my cable box so all of the cable programming is in mono...wife can't tell the difference in the sound so if she's happy then I'll just live with it. VCR and DVD look and sound GREAT!!!!!!!",happi itbut im jvc nuti 3 jvc televis one vcr one bookshelf audio system car audio system came time move vcr player boy room get anoth one old man knew make go decid combo player dont think vhs go around much longer like combo player except 2 things1no cabl box compat remot control 2no seper audio video input input coax cabl cabl box cabl program monowif cant tell differ sound shes happi ill live vcr dvd look sound great,0.8574,7
negative,"should be titled ""Hollywood Debacle"": The plot is so ridiculous, I have to wonder if they even read the script before making this film. The mountain lion breaks out of his trailer - and the cars behind don't notice? The mountain lion is captured - and put in a jail cell? Get real! Utterly, completely stupid.",titl hollywood debacl plot ridicul wonder even read script make film mountain lion break trailer car behind dont notic mountain lion captur put jail cell get real utter complet stupid,0.9998,-1
positive,"Is this great TV??? You bet it is: Hotel Babylon is not just good TV...it's great TV!!!! The show features some incredible acting from Tamzin Outhwaite (formerly of EastEnders, a BBC soap) and Max Beesley (from the ill-fated movie ""Glitter"" starring Mariah Carey). The show could make for a great drama series, but I felt that it is a mix of a drama, comedy, and soap opera all mixed into a great BBC show. The show aired on BBC America for a while but didn't get around to seeing it. I can now say that I got the DVD set and all the episodes are great. The season finale was an interesting to watch.The show reminds me of Hotel which aired on ABC from 1983 to 1988. The reason...Hotel was set at a fictional San Francisco hotel as Hotel Babylon was set at a luxury five-star hotel in England.I recommend this DVD to anyone who is willing to watch a great show from the BBC.",great tv bet hotel babylon good tvit great tv show featur incred act tamzin outhwait former eastend bbc soap max beesley illfat movi glitter star mariah carey show could make great drama seri felt mix drama comedi soap opera mix great bbc show show air bbc america didnt get around see say got dvd set episod great season final interest watchth show remind hotel air abc 1983 1988 reasonhotel set fiction san francisco hotel hotel babylon set luxuri fivestar hotel englandi recommend dvd anyon will watch great show bbc,0.9993,264
negative,"Nothing you don't already know: If you have even casually looked into applying to law school, have already read everything there is in this book, do not waste your money, seriously!!",noth dont alreadi know even casual look appli law school alreadi read everyth book wast money serious,0.6524,144
negative,"Unfortunately it wasn't entertaining in the least bit.: When I first ordered the CD, I figured it was going to be a hip, cool daddy vibe CD. However much to my dismay it sounds like a fourth grade music class. The main jist of the CD is that there is a xylaphone playing over peoples voices trying to replicate happening party. I believe if I played this CD at a party anywhere in my neighborhood I would get laughed off the beach. Growing up a surfer in San Diego, I would not recommend this CD to any of my Southern California brothers. Honestly, when I played it I kinda of felt I was in a bad B movie. The absolutle epitimy of the CD is the last ""vibe"" Surf Cha Cha. Surfers don't CHA.",unfortun wasnt entertain least bit first order cd figur go hip cool daddi vibe cd howev much dismay sound like fourth grade music class main jist cd xylaphon play peopl voic tri replic happen parti believ play cd parti anywher neighborhood would get laugh beach grow surfer san diego would recommend cd southern california brother honest play kinda felt bad b movi absolutl epitimi cd last vibe surf cha cha surfer dont cha,0.9975,145
positive,"Rochelle explains It All for You: Wondering what the hell has happened to the moral aspect of modern American culture ? This book is a lucid, well argued explanation of the simple fact that we have become so totally focused on our individual RIGHTS that we have completely ignored, and even mocked, our personal and public responsibilities. The final response and indictment of Robert Ringer's best seller, LOOKING OUT FOR #1. This is a great time for anyone who is disgusted with the boorish state of American media, politics and discourse in general, to clear their heads for the substantial challenges that lie before us not only as Americans, but as human beings. A great book",rochell explain wonder hell happen moral aspect modern american cultur book lucid well argu explan simpl fact becom total focus individu right complet ignor even mock person public respons final respons indict robert ringer best seller look 1 great time anyon disgust boorish state american media polit discours general clear head substanti challeng lie us american human be great book,0.9988,259
positive,"More great playing: Larry's work for the Muse label in the late 80s and early 90s found him exploring the rich catalog of jazz standards that he probably grew up playing. Surrounding himself with the best musicians around, Larry sounds relaxed, focused, and totally in control. Listen to Larry's take on ""My Funny Valentine"" and tell me it doesn't stand right up there with Chet Baker's or Miles'. A very fine album that you'll enjoy again and again.",great play larri work muse label late 80s earli 90s found explor rich catalog jazz standard probabl grew play surround best musician around larri sound relax focus total control listen larri take funni valentin tell doesnt stand right chet baker mile fine album youll enjoy,0.9994,8
negative,"Doesn't work on a Mac: It clearly says on line this will work on a Mac OS system. The disk comes and it does not, only Windows . Do Not order this if you have a Mac!!!!!!!",doesnt work mac clear say line work mac os system disk come window order mac,0.998,-1
negative,"Very Frustrating: My three year old son was very excited to get this but after two attempts at playing it hasn't been touched since. You are not able to use the mouse through any of the games except for the ""power-up segments"" instead you are using the up-down arrows on the keyboard - too hard for him and not much fun. Very disapointed with this game and wish I could return it.",frustrat three year old son excit get two attempt play hasnt touch sinc abl use mous game except powerup segment instead use updown arrow keyboard hard much fun disapoint game wish could return,0.9998,59
negative,"Mind numbing: This game makes you do the same things over and over, it never holds my son's attention long enough to get to the next level. There is no choice of games you have to do every thing in order. We have another Rescue Heroes game and both my boys 3 and 6 love it, but this one is a dog!",mind numb game make thing never hold son attent long enough get next level choic game everi thing order anoth rescu hero game boy 3 6 love one dog,0.9969,-1
negative,"Cannot recommend: As a former Alaskan, I didn't want to have to do this. But after repeatedly attempting Allman's recipes and having to throw out 8-10 cups of flour and miscellaneous ingredients nearly every time--and then comparing to Ed Wood's recipes which work flawlessly, and Lisa Rayner's very excellent Wild Bread: Hand-baked sourdough artisan breads in your own kitchen, I can't help but notice that their recipes work, where Allman's fail.I'm not a novice baker. The only thing that worked reliably was the pancakes recipe, but that can be found other places as well.If you are looking for reliable recipes and concise information about starting a sourdough and maintaining it, I recommend any of Ed Wood's books, even his very old ones. Lisa Rayner has written a fabulous tome in Wild Bread. But pass on this book.While some of the historical vignettes were interesting--not enough so to warrant the cost of the book. Check it out at your library if you must.",cannot recommend former alaskan didnt want repeat attempt allman recip throw 810 cup flour miscellan ingredi near everi timeand compar ed wood recip work flawless lisa rayner excel wild bread handbak sourdough artisan bread kitchen cant help notic recip work allman failim novic baker thing work reliabl pancak recip found place wellif look reliabl recip concis inform start sourdough maintain recommend ed wood book even old one lisa rayner written fabul tome wild bread pass bookwhil histor vignett interestingnot enough warrant cost book check librari must,0.9661,191
positive,Alaska sourdough: REad most of the book while visiting my brother in Alaska. Loved it. I am going to be making my sourdough starter soon. Book is full of great stories and recipes.,alaska sourdough read book visit brother alaska love go make sourdough starter soon book full great stori recip,0.9998,-1
positive,"Old and good: This book is worth to keep in your collection as it does not only advise what to do with sourdough but Ruth also told you what the picture of past 100 years ago in Alaska where no stand mixer nor any civilized stuffs in kitchen, just a pot of sourdough.",old good book worth keep collect advis sourdough ruth also told pictur past 100 year ago alaska stand mixer civil stuff kitchen pot sourdough,0.9961,-1
negative,"autumn: got this for my daughter in NC, she is now making prefect bread. Wish she lived closer to make me some",autumn got daughter nc make prefect bread wish live closer make,0.9914,-1
positive,"Fast mp3 download of music waxed decades ago: One of these 26 songs played as background music on a YouTube video of some kind of gymnastic or dance feat out of Russia. I hunted down the melody, read the English lyrics, then decided to see what else was in the album. Downloaded the full album for $15 via Amazon mp3 downloader, and now happily listen to the melodies (interspersed) on my iPod.",fast mp3 download music wax decad ago one 26 song play background music youtub video kind gymnast danc feat russia hunt melodi read english lyric decid see els album download full album 15 via amazon mp3 download happili listen melodi interspers ipod,0.8476,254
negative,"Maybe I got a bad one.: My experience: I got this from FM, not Amazon. The DVD player rattled pretty loudly sometimes (but not always) when I put in a DVD. I tried several. The picture quality wasn't all that great and the screen got a horizontal line thru the middle after a short time that would not go away. Plus one of the other reviewers was dead on about the remote - the layout makes no sense at all! Very poor human engineering, IMO. I brought it back to the store for a refund. I saw the same model under the Emerson name for <$400 at WM but was hesitant to buy it.",mayb got bad one experi got fm amazon dvd player rattl pretti loud sometim alway put dvd tri sever pictur qualiti wasnt great screen got horizont line thru middl short time would go away plus one review dead remot layout make sens poor human engin imo brought back store refund saw model emerson name 400 wm hesit buy,0.9997,210
positive,"Sylvania 6620LDG 20"" Flat Panel LCD TV with Built in DVD player: Light weight, space saving very attractive design. Sharp Picture, Good sound quality and quick response time. DVD playback also excellent. Only negative is its remote control. It is hard to read the functions of the keys due to color choices. The placement of the keys are almost illogical and you have to look at it carefully before each use. It almost seems like it was designed by an imbecil. The quality, the features and the price still makes this TV an excellent buy.",sylvania 6620ldg 20 flat panel lcd tv built dvd player light weight space save attract design sharp pictur good sound qualiti quick respons time dvd playback also excel negat remot control hard read function key due color choic placement key almost illog look care use almost seem like design imbecil qualiti featur price still make tv excel buy,0.9908,-1
negative,"TERRIBLE!! DO NOT BUY THIS: I bought this for my wife for her birthday,and had toreturn it because the DVD palyer would not work. I returned it and got a repalcement, which once again the DVD player failed to work! It is a piece of junk.",terribl buy bought wife birthdayand toreturn dvd palyer would work return got repalc dvd player fail work piec junk,0.9998,7
